song,harmonic_position,interval_semitones,fundamental_pitch,fundamental_onset,fundamental_duration,fundamental_magnitude,harmonic_pitch,harmonic_onset,harmonic_duration,harmonic_magnitude,onset_distance_seconds,onset_distance_over_harmonic_duration,onset_distance_over_fundamental_duration,magnitude_ratio,overlaps_original_definition
Music2,5th,28,74,17.2859,0.3947,0.748,102,17.193,0.5108,0.3228,0.0929,0.1818,0.2353,0.4316,True
Music2,4th,24,74,17.2859,0.3947,0.748,98,17.3556,0.3135,0.4488,0.0697,0.2222,0.1765,0.6,True
Music2,2nd (oitava),12,65,40.7419,0.2554,0.4961,77,40.7999,0.3367,0.4646,0.058,0.1724,0.2273,0.9365,True
Connect,2nd (oitava),12,75,40.7651,0.7779,0.5433,87,40.707,0.3019,0.4331,0.058,0.1923,0.0746,0.7971,True
Connect,2nd (oitava),12,39,72.2603,0.8707,0.4882,51,72.2487,0.3019,0.4724,0.0116,0.0385,0.0133,0.9677,True
Connect,4th,24,39,77.6512,0.6037,0.4724,63,77.5235,0.1625,0.4488,0.1277,0.7857,0.2115,0.95,True
Connect,4th,24,27,77.6279,0.2206,0.4882,51,77.5699,0.3483,0.4409,0.058,0.1667,0.2632,0.9032,True
Connect,2nd (oitava),12,39,77.6512,0.6037,0.4724,51,77.5699,0.3483,0.4409,0.0813,0.2333,0.1346,0.9333,True
Connect,2nd (oitava),12,27,77.6279,0.2206,0.4882,39,77.6512,0.6037,0.4724,0.0232,0.0385,0.1053,0.9677,True
Connect,4th,24,39,78.5103,0.3599,0.3228,63,78.3245,0.1741,0.2756,0.1858,1.0667,0.5161,0.8537,False
Connect,2nd (oitava),12,51,78.5103,0.418,0.3701,63,78.3245,0.1741,0.2756,0.1858,1.0667,0.4444,0.7447,False
Connect,6th,31,34,93.6019,0.4644,0.5197,65,93.718,0.2902,0.378,0.1161,0.4,0.25,0.7273,True
Connect,3rd,19,58,110.6208,0.3367,0.5512,77,110.8762,0.1741,0.4016,0.2554,1.4667,0.7586,0.7286,True
Connect,2nd (oitava),12,32,137.4114,0.2554,0.5039,44,137.4462,0.2554,0.4488,0.0348,0.1364,0.1364,0.8906,True
Connect,2nd (oitava),12,32,138.793,0.2322,0.4016,44,138.8626,0.3728,0.2598,0.0697,0.1869,0.3,0.6471,True
Connect,2nd (oitava),12,31,141.6864,0.2786,0.4567,43,141.582,0.6385,0.4173,0.1045,0.1636,0.375,0.9138,True
Connect,2nd (oitava),12,50,142.116,0.2322,0.5748,62,142.058,0.1393,0.5669,0.058,0.4167,0.25,0.9863,True
Connect,2nd (oitava),12,50,142.116,0.2322,0.5748,62,142.1973,0.1741,0.4724,0.0813,0.4667,0.35,0.8219,True
Connect,3rd (reduzido),7,35,151.5497,0.6502,0.4724,42,151.7703,0.3251,0.3858,0.2206,0.6786,0.3393,0.8167,True
Connect,4th,24,61,153.1764,0.267,0.4488,85,153.1764,0.1393,0.4409,0.0,0.0,0.0,0.9825,True
Connect,3rd,19,46,182.8592,0.2206,0.5039,65,182.6837,0.1522,0.4724,0.1754,1.1525,0.7953,0.9375,False
Connect,3rd,19,47,184.5774,0.187,0.5906,66,184.2872,0.2206,0.4961,0.2902,1.3158,1.5518,0.84,False
Connect,2nd (oitava),12,39,187.4477,1.0681,0.6063,51,187.3664,0.3251,0.5827,0.0813,0.25,0.0761,0.961,True
Connect,2nd (oitava),12,35,226.7151,0.3251,0.5118,47,226.47,0.2451,0.378,0.2451,1.0,0.7539,0.7385,False
Connect,3rd,19,35,226.7151,0.3251,0.5118,54,226.7151,0.1509,0.4567,0.0,0.0,0.0,0.8923,True
Connect,3rd,19,68,240.202,0.2103,0.622,87,240.1555,0.209,0.3386,0.0464,0.2222,0.2209,0.5443,True
Connect,2nd (oitava),12,65,241.8286,0.2554,0.4488,77,241.9099,0.1858,0.4409,0.0813,0.4375,0.3182,0.9825,True
Connect,2nd (oitava),12,34,251.5874,0.6037,0.4094,46,251.3088,0.1393,0.3858,0.2786,2.0,0.4615,0.9423,False
Connect,6th,31,34,251.5874,0.6037,0.4094,65,251.8777,0.1509,0.2598,0.2902,1.9231,0.4808,0.6346,True
